snr_db,mode_id,modulation,light_blocks_per_seed,deep_blocks_per_seed,light_pooled_blocks,deep_pooled_blocks,light_ber,deep_ber,ber_diff,ber_abs_diff,light_se,deep_se,se_reduction_ratio,se_reduction_pct,light_ci95_low,light_ci95_high,light_ci95_width,deep_ci95_low,deep_ci95_high,deep_ci95_width,ci95_width_reduction_pct,light_overlaps_target,deep_overlaps_target,overlap_status_changed,light_ci_eligible,deep_ci_eligible,eligibility_changed
12.0,1,QPSK,10000,70000,20000,140000,0.029684440104166668,0.02912841564360119,-0.0005560244605654768,0.0005560244605654768,0.0005011627883799536,0.0001835459379570913,2.7304488127496107,63.37598436818956,0.028702161038941958,0.030666719169391378,0.0019645581304494203,0.02876866560520529,0.02948816568199709,0.0007195000767918,63.375984368189485,False,False,False,False,False,False
12.0,2,16QAM,10000,70000,20000,140000,0.08825267740885416,0.08810827985491071,-0.0001443975539434511,0.0001443975539434511,0.0007017214564475346,0.0002621231012419385,2.6770683435484335,62.64570523909345,0.08687730335421699,0.08962805146349133,0.002750748109274337,0.08759451857647652,0.0886220411333449,0.0010275225568683877,62.645705239093886,False,False,False,False,False,False
12.0,3,64QAM,10000,70000,20000,140000,0.16701620551215277,0.16698167937748015,-3.452613467261334e-05,3.452613467261334e-05,0.000717017779312079,0.0002693299146226902,2.6622285174543787,62.437484481752925,0.1656108506647011,0.16842156035960443,0.002810709694903324,0.16645379274481967,0.16750956601014064,0.0010557732653209695,62.43748448175174,False,False,False,False,False,False
14.0,0,BPSK,10000,70000,20000,140000,0.009444759114583333,0.009495958891369047,5.119977678571391e-05,5.119977678571391e-05,0.0002803509764109492,0.0001085955455019078,2.581606594591156,61.264431145506585,0.008895271200817872,0.009994247028348793,0.0010989758275309208,0.009283111622185307,0.009708806160552787,0.00042569453836747984,61.26443114550647,False,False,False,True,True,False
14.0,1,QPSK,10000,70000,20000,140000,0.018589404296875,0.018587672061011903,-1.7322358630972312e-06,1.7322358630972312e-06,0.00039263805469441307,0.00014932182649299424,2.6294753012067833,61.96959904734395,0.017819833709673952,0.01935897488407605,0.0015391411744020977,0.018295001281085636,0.01888034284093817,0.0005853415598525355,61.96959904734404,False,False,False,False,False,False
14.0,2,16QAM,10000,70000,20000,140000,0.06141168619791667,0.06183442150297619,0.0004227353050595198,0.0004227353050595198,0.0006130987909764268,0.00023185447624212463,2.64432587592646,62.183178363005574,0.060210012567602875,0.06261335982823046,0.002403347260627589,0.061379986729541626,0.06228885627641075,0.000908869546869126,62.18317836300561,False,False,False,False,False,False
14.0,3,64QAM,10000,70000,20000,140000,0.1313336697048611,0.1320052044580853,0.0006715347532242066,0.0006715347532242066,0.0006907126586342201,0.0002607759714326975,2.6486821421446916,62.24537538542546,0.12997987289393803,0.13268746651578417,0.0027075936218461383,0.1314940835540772,0.1325163253620934,0.0010222418080161888,62.24537538542485,False,False,False,False,False,False
16.0,0,BPSK,10000,70000,20000,140000,0.006195963541666667,0.006195252046130952,-7.114955357144861e-07,7.114955357144861e-07,0.0002331937875799071,8.80502671142875e-05,2.6484165831913513,62.241589697531786,0.005738903718010049,0.006653023365323285,0.0009141196473132357,0.006022673522586949,0.006367830569674956,0.00034515704708800755,62.241589697531715,False,False,False,True,True,False
16.0,1,QPSK,10000,70000,20000,140000,0.012243505859375,0.01217582775297619,-6.767810639880974e-05,6.767810639880974e-05,0.00032454163872123174,0.00012262348302675519,2.64665160954872,62.216409730991764,0.011607404247481386,0.012879607471268614,0.0012722032237872279,0.01193548572624375,0.01241616977970863,0.0004806840534648804,62.21640973099174,False,False,False,False,False,False
16.0,2,16QAM,10000,70000,20000,140000,0.042530802408854165,0.04233540969122024,-0.00019539271763392707,0.00019539271763392707,0.0005355216752419403,0.00020191704602140636,2.652186557766731,62.29526173143536,0.04148117992537996,0.04358042489232837,0.0020992449669484103,0.04193965228101828,0.0427311671014222,0.0007915148204039185,62.29526173143516,False,False,False,False,False,False
16.0,3,64QAM,10000,70000,20000,140000,0.10060042317708333,0.10041089177207341,-0.00018953140500992116,0.00018953140500992116,0.0006588067647235135,0.00024832959622587725,2.6529530701780377,62.30615568586403,0.09930916191822524,0.10189168443594142,0.0025825225177161792,0.09992416576347068,0.10089761778067613,0.000973452017205445,62.30615568586387,False,False,False,False,False,False
16.5,0,BPSK,10000,70000,20000,140000,0.0057350260416666665,0.005450358072916666,-0.0002846679687500001,0.0002846679687500001,0.0002282597134104991,8.347510634874251e-05,2.734464481624918,63.42976817874907,0.005287637003382088,0.0061824150799512445,0.0008947780765691561,0.005286746864473131,0.0056139692813602015,0.0003272224168870703,63.4297681787491,False,False,False,True,True,False
16.5,1,QPSK,10000,70000,20000,140000,0.011032112630208334,0.010773663039434524,-0.0002584495907738092,0.0002584495907738092,0.00031540436878063605,0.00011566752976881424,2.7268185757147028,63.32722650101874,0.010413920067398287,0.01165030519301838,0.0012363851256200938,0.010546954681087649,0.0110003713977814,0.0004534167166937511,63.32722650101881,False,False,False,False,False,False
