mode_id,modulation,bits_per_symbol,snr_db,num_blocks,total_bits,bit_errors,ber,block_errors,bler,mean_block_ber,std_block_ber,se_block_ber,z_ab,fixed_budget_reached,is_stable,reliability_uncertain
1,QPSK,2,10.0,140000,430080000,18861705,0.043856270926339286,100087,0.7149071428571429,0.043856270926339286,0.08188141853552038,0.00021883729607354181,0.645669985338979,True,N/A (deprecated),False
2,16QAM,4,10.0,140000,860160000,103051770,0.11980535016741072,139741,0.99815,0.1198053501674107,0.10571553036784996,0.00028253663935542196,0.4187428529423799,True,N/A (deprecated),False
3,64QAM,6,10.0,140000,1290240000,262648755,0.20356581333705356,140000,1.0,0.20356581333705354,0.10025691286194784,0.00026794787041789893,0.21162609196744653,True,N/A (deprecated),False
0,BPSK,1,12.0,140000,215040000,3267282,0.015193833705357143,42458,0.3032714285714286,0.015193833705357148,0.05094221748438842,0.0001361488031065047,0.3503710824753233,True,N/A (deprecated),False
1,QPSK,2,12.0,140000,430080000,12527549,0.02912841564360119,76842,0.5488714285714286,0.029128415643601198,0.06867660145695022,0.0001835459379570913,0.6817745246079319,True,N/A (deprecated),False
2,16QAM,4,12.0,140000,860160000,75787218,0.08810827985491071,137474,0.9819571428571429,0.0881082798549107,0.09807748380059929,0.0002621231012419385,1.0590962284326335,True,N/A (deprecated),False
3,64QAM,6,12.0,140000,1290240000,215446442,0.16698167937748015,140000,1.0,0.1669816793774801,0.10077402645271838,0.0002693299146226902,1.153623624338753,True,N/A (deprecated),False
0,BPSK,1,14.0,140000,215040000,2042011,0.009495958891369047,28244,0.20174285714285714,0.009495958891369047,0.0406327324997959,0.0001085955455019078,1.2305831472098967,True,N/A (deprecated),False
1,QPSK,2,14.0,140000,430080000,7994186,0.018587672061011903,55662,0.39758571428571426,0.018587672061011907,0.05587111151040887,0.00014932182649299424,0.949231767801808,True,N/A (deprecated),False
2,16QAM,4,14.0,140000,860160000,53187496,0.06183442150297619,129555,0.9253928571428571,0.061834421502976175,0.08675200136879489,0.00023185447624212463,0.3104206791191539,True,N/A (deprecated),False
3,64QAM,6,14.0,140000,1290240000,170318395,0.1320052044580853,139996,0.9999714285714286,0.13200520445808533,0.0975734339804303,0.0002607759714326975,0.04288413075747404,True,N/A (deprecated),False
0,BPSK,1,16.0,140000,215040000,1332227,0.006195252046130952,18751,0.1339357142857143,0.006195252046130952,0.03294539323555925,8.80502671142875e-05,0.5296714764754186,True,N/A (deprecated),False
1,QPSK,2,16.0,140000,430080000,5236580,0.01217582775297619,38047,0.27176428571428574,0.012175827752976192,0.045881506105900756,0.00012262348302675519,0.6670331053569745,True,N/A (deprecated),False
2,16QAM,4,16.0,140000,860160000,36415226,0.04233540969122024,113089,0.8077785714285715,0.04233540969122024,0.07555044067615689,0.00020191704602140636,1.3657842777463884,True,N/A (deprecated),False
3,64QAM,6,16.0,140000,1290240000,129554149,0.10041089177207341,139813,0.9986642857142857,0.10041089177207335,0.09291642680731439,0.00024832959622587725,1.4184078180061759,True,N/A (deprecated),False
0,BPSK,1,16.5,140000,215040000,1172045,0.005450358072916666,16768,0.11977142857142857,0.005450358072916665,0.031233524828151275,8.347510634874251e-05,0.9299464722733302,True,N/A (deprecated),False
1,QPSK,2,16.5,140000,430080000,4633537,0.010773663039434524,34466,0.24618571428571429,0.010773663039434523,0.043278826716937856,0.00011566752976881424,0.625552812043908,True,N/A (deprecated),False
2,16QAM,4,16.5,140000,860160000,32908517,0.038258599562872024,107819,0.7701357142857143,0.03825859956287202,0.07218828145053081,0.00019293129751992493,0.39413136012964145,True,N/A (deprecated),False
3,64QAM,6,16.5,140000,1290240000,120283623,0.09322577427455357,139635,0.9973928571428572,0.09322577427455357,0.09091782611595443,0.00024298811119727833,0.029322445209335753,True,N/A (deprecated),False
0,BPSK,1,17.0,140000,215040000,1041256,0.004842150297619047,15167,0.10833571428571429,0.004842150297619047,0.029160611832409408,7.793501333255876e-05,1.1437350048828074,True,N/A (deprecated),False
1,QPSK,2,17.0,140000,430080000,4156430,0.009664318266369048,31490,0.22492857142857142,0.009664318266369043,0.040819771511205895,0.00010909542828666287,0.2167949066421382,True,N/A (deprecated),False
2,16QAM,4,17.0,140000,860160000,29996977,0.03487371768043155,102731,0.7337928571428571,0.03487371768043156,0.06923732760550737,0.00018504454162545283,0.9393786377637792,True,N/A (deprecated),False
3,64QAM,6,17.0,140000,1290240000,112134194,0.08690956256200397,139381,0.9955785714285714,0.08690956256200397,0.08912167505767692,0.0002381876955723027,1.038529299945257,True,N/A (deprecated),False
0,BPSK,1,17.5,140000,215040000,943440,0.004387276785714286,13519,0.09656428571428571,0.004387276785714287,0.02811367076405381,7.513694563118038e-05,0.3210892665945483,True,N/A (deprecated),False
1,QPSK,2,17.5,140000,430080000,3734265,0.008682721819196429,28106,0.20075714285714286,0.008682721819196427,0.039072655257828035,0.00010442606369023139,0.6552197041901051,True,N/A (deprecated),False
2,16QAM,4,17.5,140000,860160000,26920477,0.03129705752418155,96491,0.6892214285714285,0.031297057524181535,0.06643845015971779,0.00017756422700422887,0.5929982878390659,True,N/A (deprecated),False
3,64QAM,6,17.5,140000,1290240000,102970439,0.07980719788566468,138901,0.99215,0.07980719788566468,0.08713197818144679,0.00023287000699059732,0.47019721218377797,True,N/A (deprecated),False
0,BPSK,1,18.0,140000,215040000,883939,0.004110579427083334,12157,0.08683571428571428,0.0041105794270833345,0.02741208762131003,7.326188581083514e-05,0.7329445216999526,True,N/A (deprecated),False
1,QPSK,2,18.0,140000,430080000,3432721,0.00798158714657738,25555,0.18253571428571427,0.007981587146577377,0.037972227860835976,0.00010148504776268585,0.3879091148913694,True,N/A (deprecated),False
2,16QAM,4,18.0,140000,860160000,24491086,0.02847270972842262,91487,0.6534785714285715,0.02847270972842262,0.06419727865614236,0.0001715744442103858,0.08589123502040671,True,N/A (deprecated),False
3,64QAM,6,18.0,140000,1290240000,95520177,0.07403287527901786,138129,0.9866357142857143,0.07403287527901786,0.0853040911671122,0.00022798477345533077,0.22923545355691882,True,N/A (deprecated),False
0,BPSK,1,20.0,140000,215040000,519898,0.002417680431547619,7633,0.054521428571428575,0.002417680431547619,0.020678485981780084,5.526557844359204e-05,0.8658467181524245,True,N/A (deprecated),False
1,QPSK,2,20.0,140000,430080000,2070050,0.004813174293154762,16453,0.11752142857142857,0.004813174293154761,0.029204195565749193,7.805149575955446e-05,1.0440778989031696,True,N/A (deprecated),False
2,16QAM,4,20.0,140000,860160000,15649674,0.018193910435267857,68206,0.4871857142857143,0.018193910435267857,0.0518724398572464,0.00013863492697275214,1.187960788943687,True,N/A (deprecated),False
3,64QAM,6,20.0,140000,1290240000,66674333,0.051675915333581346,131470,0.9390714285714286,0.051675915333581346,0.07459205724111366,0.00019935565855062686,1.2925049867488891,True,N/A (deprecated),False
0,BPSK,1,22.0,140000,215040000,331880,0.0015433407738095239,4941,0.03529285714285714,0.0015433407738095237,0.01676262702379835,4.480000516095113e-05,0.6782362174728358,True,N/A (deprecated),False
1,QPSK,2,22.0,140000,430080000,1324391,0.0030794061569940478,10749,0.07677857142857143,0.003079406156994048,0.023483853665791303,6.276323895609023e-05,0.7175494766029205,True,N/A (deprecated),False
2,16QAM,4,22.0,140000,860160000,10220877,0.011882529994419643,48398,0.3457,0.011882529994419647,0.04242777507769167,0.00011339299858844884,0.29456683125446326,True,N/A (deprecated),False
3,64QAM,6,22.0,140000,1290240000,45978086,0.03563529730902778,116536,0.8324,0.035635297309027744,0.06440491931466855,0.00017212938721307804,0.9361500924431165,True,N/A (deprecated),False
0,BPSK,1,22.5,140000,215040000,293619,0.001365415736607143,4362,0.031157142857142855,0.0013654157366071425,0.01576878450580261,4.2143849304702005e-05,1.1785799993013164,True,N/A (deprecated),False
1,QPSK,2,22.5,140000,430080000,1173846,0.002729366629464286,9635,0.06882142857142858,0.002729366629464285,0.02213409600271084,5.9155859862933275e-05,1.5023403765072632,True,N/A (deprecated),False
2,16QAM,4,22.5,140000,860160000,9146534,0.010633526320684523,44001,0.31429285714285715,0.010633526320684528,0.04013855401485743,0.00010727479794579724,1.8961634748678546,True,N/A (deprecated),False
3,64QAM,6,22.5,140000,1290240000,41703457,0.03232224779885913,111724,0.7980285714285714,0.03232224779885913,0.06174006424777484,0.00016500726246613176,2.2292063093964134,True,N/A (deprecated),False
0,BPSK,1,23.0,140000,215040000,269059,0.0012512044270833332,3957,0.028264285714285714,0.0012512044270833328,0.015204256745161881,4.06350854006732e-05,1.8533792693027191,True,N/A (deprecated),False
1,QPSK,2,23.0,140000,430080000,1067006,0.002480947730654762,8602,0.061442857142857146,0.0024809477306547614,0.021232122467612163,5.6745234191307155e-05,1.2062306704104393,True,N/A (deprecated),False
2,16QAM,4,23.0,140000,860160000,8219423,0.009555690801711309,39930,0.2852142857142857,0.00955569080171131,0.038388432457620636,0.00010259740133694913,0.2362026857404053,True,N/A (deprecated),False
3,64QAM,6,23.0,140000,1290240000,37647111,0.02917837844122024,106164,0.7583142857142857,0.029178378441220232,0.05929979944543182,0.00015848538044943802,0.14920906773504208,True,N/A (deprecated),False
0,BPSK,1,23.5,140000,215040000,243843,0.0011339425223214285,3500,0.025,0.0011339425223214285,0.014323393416802816,3.828087912974964e-05,1.1621847264722551,True,N/A (deprecated),False
1,QPSK,2,23.5,140000,430080000,965591,0.0022451427641369047,7666,0.05475714285714286,0.0022451427641369042,0.020232322568428916,5.407315656411084e-05,1.2098946055653708,True,N/A (deprecated),False
2,16QAM,4,23.5,140000,860160000,7373590,0.008572347005208333,36184,0.25845714285714283,0.008572347005208333,0.03655972820391483,9.770998363758966e-05,1.1037506842893157,True,N/A (deprecated),False
3,64QAM,6,23.5,140000,1290240000,34021172,0.026368095858134922,100696,0.7192571428571428,0.02636809585813492,0.05681798063727221,0.00015185244068073453,1.172790742209385,True,N/A (deprecated),False
0,BPSK,1,24.0,140000,215040000,215619,0.0010026925223214286,3126,0.02232857142857143,0.0010026925223214282,0.013568947708497862,3.626453816017884e-05,1.0467634324440407,True,N/A (deprecated),False
1,QPSK,2,24.0,140000,430080000,854099,0.0019859072730654763,6866,0.049042857142857145,0.0019859072730654768,0.018998513900200527,5.07756641945805e-05,1.3908627609911446,True,N/A (deprecated),False
2,16QAM,4,24.0,140000,860160000,6573744,0.007642466517857143,32763,0.23402142857142857,0.007642466517857141,0.03452873532004596,9.228192683300876e-05,1.795642734293576,True,N/A (deprecated),False
3,64QAM,6,24.0,140000,1290240000,30602091,0.023718138485863096,94505,0.6750357142857143,0.023718138485863106,0.05423986360076172,0.0001449621330710008,1.593354911786136,True,N/A (deprecated),False
0,BPSK,1,26.0,140000,215040000,140761,0.0006545805431547619,2046,0.014614285714285715,0.0006545805431547623,0.01083170052957533,2.8948937355577676e-05,0.9508156322546537,True,N/A (deprecated),False
1,QPSK,2,26.0,140000,430080000,560378,0.0013029622395833334,4398,0.031414285714285714,0.0013029622395833332,0.015384666898284646,4.1117251816445205e-05,0.826296369783345,True,N/A (deprecated),False
2,16QAM,4,26.0,140000,860160000,4272926,0.0049675944010416665,21678,0.15484285714285714,0.004967594401041666,0.028184732962801006,7.532686734608241e-05,0.5845973864429366,True,N/A (deprecated),False
3,64QAM,6,26.0,140000,1290240000,20236511,0.015684299820188492,71737,0.5124071428571428,0.015684299820188492,0.04511894324610467,0.00012058544805730127,0.2859343243918544,True,N/A (deprecated),False
0,BPSK,1,28.0,140000,215040000,84421,0.00039258277529761906,1235,0.008821428571428572,0.0003925827752976191,0.008765093838566197,2.342569864774141e-05,0.0375187578674178,True,N/A (deprecated),False
1,QPSK,2,28.0,140000,430080000,333132,0.0007745814732142857,2815,0.020107142857142858,0.0007745814732142856,0.012055944753446336,3.2220867672336445e-05,0.5094681916057322,True,N/A (deprecated),False
2,16QAM,4,28.0,140000,860160000,2673743,0.0031084251767113094,14308,0.1022,0.0031084251767113102,0.022007218868811143,5.881676645917006e-05,0.42087699717695254,True,N/A (deprecated),False
3,64QAM,6,28.0,140000,1290240000,13166210,0.010204465835813492,51422,0.3673,0.010204465835813489,0.036489099833344814,9.752122137726173e-05,0.6432690511646805,True,N/A (deprecated),False
0,BPSK,1,28.5,140000,215040000,73208,0.0003404389880952381,1133,0.008092857142857143,0.0003404389880952381,0.0077394283576906735,2.0684492345686444e-05,0.05080924881029695,True,N/A (deprecated),False
1,QPSK,2,28.5,140000,430080000,297658,0.0006920991443452381,2477,0.017692857142857142,0.0006920991443452381,0.011095995190374039,2.9655294548336534e-05,0.9648622490667603,True,N/A (deprecated),False
2,16QAM,4,28.5,140000,860160000,2380776,0.0027678292410714287,12710,0.09078571428571429,0.002767829241071428,0.02079509520932491,5.5577229713312825e-05,1.7413673165946693,True,N/A (deprecated),False
3,64QAM,6,28.5,140000,1290240000,11707325,0.009073757595486112,46639,0.3331357142857143,0.009073757595486114,0.034560774902000116,9.236755621764298e-05,1.721839097091646,True,N/A (deprecated),False
0,BPSK,1,29.0,140000,215040000,62066,0.0002886253720238095,958,0.006842857142857143,0.00028862537202380947,0.007274468354860575,1.944183446772668e-05,0.7285723389769332,True,N/A (deprecated),False
1,QPSK,2,29.0,140000,430080000,249084,0.0005791573660714286,2208,0.01577142857142857,0.0005791573660714288,0.010188967241313017,2.7231160387183255e-05,0.7039175699937101,True,N/A (deprecated),False
2,16QAM,4,29.0,140000,860160000,2064266,0.002399862816220238,11288,0.08062857142857142,0.002399862816220238,0.01917786242970773,5.125499330189313e-05,0.6794203748106545,True,N/A (deprecated),False
3,64QAM,6,29.0,140000,1290240000,10348966,0.00802096199156746,42519,0.30370714285714284,0.008020961991567464,0.032293810990375184,8.630884031372771e-05,0.4393520693727588,True,N/A (deprecated),False
0,BPSK,1,29.5,140000,215040000,65653,0.0003053059895833333,939,0.006707142857142857,0.00030530598958333343,0.007637036024133891,2.0410837323399475e-05,0.08498205312427912,True,N/A (deprecated),False
1,QPSK,2,29.5,140000,430080000,255365,0.0005937616257440477,2045,0.014607142857142857,0.0005937616257440474,0.010579785881388101,2.8275667138273173e-05,0.07425472606558577,True,N/A (deprecated),False
2,16QAM,4,29.5,140000,860160000,1958146,0.002276490420386905,10356,0.07397142857142858,0.002276490420386905,0.019171287607235937,5.123742134970148e-05,0.4014293499956511,True,N/A (deprecated),False
3,64QAM,6,29.5,140000,1290240000,9557522,0.00740755363343254,38773,0.27695,0.007407553633432539,0.03156234518142681,8.435391570856752e-05,1.0209600124789726,True,N/A (deprecated),False
0,BPSK,1,30.0,140000,215040000,59754,0.00027787388392857144,817,0.005835714285714286,0.0002778738839285714,0.007576082340305141,2.0247931751007388e-05,0.9673604850249501,True,N/A (deprecated),False
1,QPSK,2,30.0,140000,430080000,226486,0.0005266136532738095,1765,0.012607142857142857,0.0005266136532738094,0.010201788078126328,2.7265425514874076e-05,0.8401608108185538,True,N/A (deprecated),False
2,16QAM,4,30.0,140000,860160000,1712945,0.001991426013764881,9196,0.06568571428571429,0.0019914260137648813,0.0180523805993562,4.8247016584596944e-05,0.011060160482140797,True,N/A (deprecated),False
3,64QAM,6,30.0,140000,1290240000,8424364,0.006529299975198413,35161,0.25115,0.006529299975198413,0.029655704036496696,7.925820290581404e-05,0.11419634851909978,True,N/A (deprecated),False
