profile,requested_blocks_per_seed,snr_db,checkpoint_idx,blocks_per_seed,pooled_blocks,mode_id,modulation,pooled_ber,pooled_se,ci95_low,ci95_high,overlaps_ber_target,z_ab
deep,70000,29.5,1,5000,10000,0,BPSK,0.0002675130208333333,7.675307998413645e-05,0.00011707698406442587,0.0004179490576022407,False,0.9474666312860177
deep,70000,29.5,1,5000,10000,1,QPSK,0.0005012044270833333,0.00010018392937044138,0.00030484392551726825,0.0006975649286493984,False,1.1934682538900336
deep,70000,29.5,1,5000,10000,2,16QAM,0.0021024251302083335,0.00017939839390993125,0.0017508042781448682,0.002454045982271799,False,0.977567056723518
deep,70000,29.5,1,5000,10000,3,64QAM,0.007272384982638889,0.0003036301377993162,0.0066772699125522295,0.007867500052725549,False,0.7674266960652625
deep,70000,29.5,2,10000,20000,0,BPSK,0.0002866536458333333,5.2106550330099375e-05,0.00018452480718633853,0.0003887824844803281,False,1.0120494761215948
deep,70000,29.5,2,10000,20000,1,QPSK,0.0005555501302083333,7.192769426895236e-05,0.00041457184944118663,0.00069652841097548,False,1.3249142025679905
deep,70000,29.5,2,10000,20000,2,16QAM,0.0022137532552083334,0.00013227507728264275,0.0019544941037343538,0.002473012406682313,False,1.490389873703859
deep,70000,29.5,2,10000,20000,3,64QAM,0.007333148871527778,0.0002197121350410987,0.006902513086847225,0.007763784656208332,False,1.4395405165268804
deep,70000,29.5,3,15000,30000,0,BPSK,0.0002926432291666667,4.285935580541668e-05,0.00020863889178805,0.00037664756654528337,False,0.27291283205960754
deep,70000,29.5,3,15000,30000,1,QPSK,0.0005775282118055555,5.944585552456894e-05,0.0004610143349774004,0.0006940420886337106,False,0.15204560898511565
deep,70000,29.5,3,15000,30000,2,16QAM,0.002289675564236111,0.00011006927427192155,0.0020739397866631447,0.0025054113418090775,False,0.7292442536627587
deep,70000,29.5,3,15000,30000,3,64QAM,0.007474547887731482,0.0001823508392123193,0.007117140242875336,0.007831955532587628,False,0.5910914001889548
deep,70000,29.5,4,20000,40000,0,BPSK,0.00027644856770833335,3.5848306077257885e-05,0.00020618588779690788,0.0003467112476197588,False,0.1430162511973148
deep,70000,29.5,4,20000,40000,1,QPSK,0.0005567626953125,5.0046945881671546e-05,0.00045867068138442376,0.0006548547092405763,False,0.4746474005132996
deep,70000,29.5,4,20000,40000,2,16QAM,0.0022465087890625,9.374445739987155e-05,0.0020627696525587517,0.0024302479255662486,False,0.7587213876141132
deep,70000,29.5,4,20000,40000,3,64QAM,0.007394281684027778,0.00015656127140296016,0.007087421592077976,0.00770114177597758,False,0.6597573951121034
deep,70000,29.5,5,25000,50000,0,BPSK,0.0002916927083333333,3.19361980033761e-05,0.00022909776024671616,0.00035428765641995046,False,0.024462592319141243
deep,70000,29.5,5,25000,50000,1,QPSK,0.0005901432291666667,4.554668838162211e-05,0.0005008717199386873,0.000679414738394646,False,0.20954716837559398
deep,70000,29.5,5,25000,50000,2,16QAM,0.0023083268229166665,8.570987950739854e-05,0.0021403354590821652,0.002476318186751168,False,0.37614457901653253
deep,70000,29.5,5,25000,50000,3,64QAM,0.007496226128472222,0.00014197809361044916,0.007217949064995742,0.007774503191948703,False,0.5325112146035778
deep,70000,29.5,6,30000,60000,0,BPSK,0.0002821072048611111,2.8098683471472432e-05,0.00022703378525702517,0.0003371806244651971,False,0.7866131658353682
deep,70000,29.5,6,30000,60000,1,QPSK,0.0005791883680555556,4.0629949508325156e-05,0.0004995536670192383,0.0006588230690918729,False,0.4120730125830163
deep,70000,29.5,6,30000,60000,2,16QAM,0.0023170328776041665,7.780005672991544e-05,0.0021645447664135325,0.0024695209887948006,False,0.4366395596275063
deep,70000,29.5,6,30000,60000,3,64QAM,0.007519860387731481,0.0001296820484023406,0.007265683572862894,0.007774037202600069,False,1.035519387681356
deep,70000,29.5,7,35000,70000,0,BPSK,0.00028679315476190477,2.6341385644527245e-05,0.00023516403889863136,0.00033842227062517814,False,0.14617376490816178
deep,70000,29.5,7,35000,70000,1,QPSK,0.0005770693824404761,3.804655611692079e-05,0.0005024981324513114,0.0006516406324296409,False,0.2954195389446691
deep,70000,29.5,7,35000,70000,2,16QAM,0.0022829124813988095,7.174050899534708e-05,0.0021423010837679293,0.0024235238790296897,False,0.8093216601682807
deep,70000,29.5,7,35000,70000,3,64QAM,0.007467657180059524,0.00011930700619220369,0.007233815447922804,0.007701498912196243,False,1.320788091305797
deep,70000,29.5,8,40000,80000,0,BPSK,0.00029737955729166666,2.5716327843281113e-05,0.00024697555471883567,0.00034778355986449764,False,0.0943025458613505
deep,70000,29.5,8,40000,80000,1,QPSK,0.00058243408203125,3.655261792176474e-05,0.0005107909509045911,0.0006540772131579089,False,0.2801889663375661
deep,70000,29.5,8,40000,80000,2,16QAM,0.0022567789713541665,6.714587861282324e-05,0.002125173049273033,0.0023883848934353,False,0.7862167602917339
deep,70000,29.5,8,40000,80000,3,64QAM,0.007397298177083333,0.0001110934347855406,0.0071795550449036735,0.007615041309262993,False,1.6006364753461428
deep,70000,29.5,9,45000,90000,0,BPSK,0.00029620949074074076,2.4475764122897754e-05,0.00024823699305986116,0.00034418198842162037,False,0.07034035760352189
deep,70000,29.5,9,45000,90000,1,QPSK,0.0005790219907407407,3.4415334693390964e-05,0.0005115679347416944,0.0006464760467397871,False,0.14944504468027267
deep,70000,29.5,9,45000,90000,2,16QAM,0.0022497649016203704,6.318464237037535e-05,0.0021259230025744346,0.002373606800666306,False,0.3621766819560152
deep,70000,29.5,9,45000,90000,3,64QAM,0.007379355951003087,0.00010461610043938839,0.007174308394141886,0.007584403507864288,False,1.1924850693399305
deep,70000,29.5,10,50000,100000,0,BPSK,0.0002962890625,2.347452805001388e-05,0.00025027898752197277,0.00034229913747802724,False,0.1697310226351457
deep,70000,29.5,10,50000,100000,1,QPSK,0.000582119140625,3.276759023320135e-05,0.0005178946637679254,0.0006463436174820747,False,0.14831735386117872
deep,70000,29.5,10,50000,100000,2,16QAM,0.0022727376302083334,6.018521644565974e-05,0.00215477460597484,0.0023907006544418266,False,0.11217486867838845
deep,70000,29.5,10,50000,100000,3,64QAM,0.007424725477430555,9.96832788135932e-05,0.0072293462509559125,0.007620104703905198,False,0.9038492706611941
deep,70000,29.5,11,55000,110000,0,BPSK,0.0003092625473484848,2.3330754707937694e-05,0.00026353426812092694,0.0003549908265760427,False,0.2544405924947034
deep,70000,29.5,11,55000,110000,1,QPSK,0.0006004083806818182,3.2127571059161526e-05,0.0005374383414058616,0.0006633784199577748,False,0.31667392641498315
deep,70000,29.5,11,55000,110000,2,16QAM,0.00230859375,5.8195938486229906e-05,0.002194529710566989,0.0024226577894330107,False,0.18453488930888626
